Time,e_0,e_1,s_0,s_1,k1_0,k1_1,q_0,q_4,dq_0,dq_4,dqr_0,dqr_1,dqd_0,dqd_1,ddqd_0,ddqd_1,tau_0,tau_4,Fext_0,Fext_1
0.083, -0.260734, -0.446797, -0.814975, -1.18795, 6.52139, 8.24938, 1.56791, -1.57072, -0.0134114, 0, -0.277916, -0.453693, -0.274146, -0.446797, 0.343125, 0.0903613, -5.31411, -0.263726, -0, -0
0.084, -0.260785, -0.447093, -0.821421, -1.19958, 6.56382, 8.31263, 1.56786, -1.57072, -0.0131066, 0.000356109, -0.277644, -0.453599, -0.273891, -0.446737, 0.254575, 0.0599396, -5.40095, -0.267835, -0, -0
0.085, -0.260209, -0.446565, -0.827152, -1.21075, 6.60624, 8.37587, 1.56775, -1.57072, -0.0131066, 0, -0.277052, -0.453394, -0.273315, -0.446565, 0.575954, 0.172029, -5.3868, -0.270789, -0, -0
0.086, -0.26018, -0.446121, -0.833503, -1.22196, 6.64867, 8.43912, 1.56769, -1.57072, -0.0128018, -0.000356109, -0.276702, -0.453273, -0.272982, -0.446478, 0.33333, 0.0874605, -5.5103, -0.275283, -0, -0
0.087, -0.259987, -0.446438, -0.839666, -1.2336, 6.6911, 8.50236, 1.56765, -1.57072, -0.0128018, 0, -0.276491, -0.4532, -0.272789, -0.446438, 0.193201, 0.039199, -5.60888, -0.279588, -0, -0
0.088, -0.259426, -0.446377, -0.845408, -1.24503, 6.73352, 8.56561, 1.5676, -1.57072, -0.0131066, 0, -0.276218, -0.453106, -0.272533, -0.446377, 0.255878, 0.0610012, -5.65728, -0.283337, -0, -0
0.089, -0.259461, -0.44631, -0.851826, -1.25646, 6.77595, 8.62885, 1.56755, -1.57072, -0.0128018, 0, -0.275931, -0.453006, -0.272263, -0.44631, 0.270101, 0.0669945, -5.72171, -0.287297, -0, -0
0.09, -0.258813, -0.446576, -0.857464, -1.26807, 6.81838, 8.6921, 1.56748, -1.57072, -0.0131066, 0.000356109, -0.275571, -0.452882, -0.27192, -0.44622, 0.343031, 0.090492, -5.76791, -0.291114, -0, -0
0.091, -0.257783, -0.445744, -0.86266, -1.27906, 6.8608, 8.75535, 1.5674, -1.57072, -0.0137163, -0.000356109, -0.275134, -0.452731, -0.271499, -0.4461, 0.420614, 0.119326, -5.81052, -0.294782, -0, -0
0.092, -0.256806, -0.446001, -0.867911, -1.29067, 6.90323, 8.81859, 1.56733, -1.57072, -0.0143259, 0, -0.274751, -0.452598, -0.271132, -0.446001, 0.366854, 0.099972, -5.88504, -0.298936, -0, -0
0.093, -0.256188, -0.445919, -0.873562, -1.30208, 6.94566, 8.88184, 1.56727, -1.57072, -0.0146307, 0, -0.274421, -0.452484, -0.270819, -0.445919, 0.3135, 0.0816773, -5.96232, -0.303123, -0, -0
0.094, -0.254254, -0.445804, -0.87771, -1.31347, 6.98808, 8.94508, 1.56719, -1.57072, -0.0161547, 0, -0.273995, -0.452337, -0.270408, -0.445804, 0.41032, 0.115316, -5.99501, -0.306811, -0, -0
0.095, -0.252897, -0.445677, -0.882502, -1.32486, 7.03051, 9.00833, 1.56711, -1.57072, -0.0170691, 0, -0.273537, -0.452178, -0.269966, -0.445677, 0.442293, 0.126538, -6.04744, -0.310756, -0, -0
0.096, -0.251197, -0.445893, -0.886894, -1.33644, 7.07294, 9.07157, 1.56702, -1.57072, -0.0182883, 0.000356109, -0.273041, -0.452006, -0.269485, -0.445537, 0.481118, 0.140137, -6.0961, -0.314709, -0, -0
0.097, -0.24959, -0.445428, -0.89138, -1.34763, 7.11536, 9.13482, 1.56695, -1.57072, -0.0195076, 0, -0.272637, -0.451866, -0.269097, -0.445428, 0.387804, 0.108935, -6.1769, -0.318967, -0, -0
0.098, -0.248245, -0.445305, -0.896152, -1.35902, 7.15779, 9.19806, 1.56687, -1.57072, -0.020422, 0, -0.272191, -0.451711, -0.268667, -0.445305, 0.430534, 0.122958, -6.22774, -0.322984, -0, -0
0.099, -0.245935, -0.445059, -0.899822, -1.37033, 7.20021, 9.26131, 1.56672, -1.57072, -0.021946, 0, -0.271392, -0.451435, -0.267881, -0.445059, 0.785457, 0.246017, -6.19799, -0.326114, -0, -0
0.1, -0.242645, -0.444683, -0.902371, -1.38157, 7.24264, 9.32456, 1.56651, -1.57072, -0.0240796, 0, -0.270224, -0.451029, -0.266725, -0.444683, 1.1566, 0.375749, -6.15744, -0.329106, -0, -0
0.101, -0.240025, -0.444329, -0.905655, -1.39281, 7.28507, 9.3878, 1.56631, -1.57072, -0.0256037, 0, -0.269116, -0.450645, -0.265629, -0.444329, 1.09583, 0.354112, -6.22411, -0.333312, -0, -0
0.102, -0.238091, -0.443644, -0.909693, -1.40386, 7.32749, 9.45105, 1.56613, -1.57072, -0.0265181, -0.000356109, -0.268084, -0.450286, -0.264609, -0.444, 1.01978, 0.328982, -6.29956, -0.337617, -0, -0
0.103, -0.234614, -0.443917, -0.911986, -1.41546, 7.36992, 9.51429, 1.56588, -1.57072, -0.0286517, 0.000356109, -0.26673, -0.449818, -0.263266, -0.44356, 1.34312, 0.43966, -6.26956, -0.340879, -0, -0
0.104, -0.232738, -0.443358, -0.91605, -1.42658, 7.41235, 9.57754, 1.56576, -1.57072, -0.0298709, 0, -0.266059, -0.449585, -0.262609, -0.443358, 0.656872, 0.202732, -6.49017, -0.346816, -0, -0
0.105, -0.231486, -0.443159, -0.920799, -1.4379, 7.45477, 9.64078, 1.56565, -1.57072, -0.0304806, 0, -0.265403, -0.449356, -0.261966, -0.443159, 0.642577, 0.198883, -6.55671, -0.351175, -0, -0
0.106, -0.228615, -0.442928, -0.923729, -1.44921, 7.4972, 9.70403, 1.56551, -1.57072, -0.0326142, 0, -0.264652, -0.449095, -0.261229, -0.442928, 0.737176, 0.231033, -6.58581, -0.355122, -0, -0
0.107, -0.225128, -0.442481, -0.925953, -1.46038, 7.53963, 9.76727, 1.56527, -1.57072, -0.0347478, 0, -0.263288, -0.44862, -0.259876, -0.442481, 1.35348, 0.446385, -6.48705, -0.357665, -0, -0
0.108, -0.220889, -0.442092, -0.92732, -1.47159, 7.58205, 9.83052, 1.56506, -1.57072, -0.0377959, 0, -0.262086, -0.448202, -0.258685, -0.442092, 1.19111, 0.389443, -6.56702, -0.36216, -0, -0
0.109, -0.212614, -0.441821, -0.924197, -1.48286, 7.62448, 9.89377, 1.56473, -1.57072, -0.0441968, 0.000356109, -0.260205, -0.447548, -0.256811, -0.441465, 1.8736, 0.627421, -6.41717, -0.364095, -0, -0
0.11, -0.201835, -0.4406, -0.918298, -1.49358, 7.6669, 9.95701, 1.56428, -1.57072, -0.0524266, 0, -0.257652, -0.446657, -0.254262, -0.4406, 2.54942, 0.864678, -6.24993, -0.365699, -0, -0
0.111, -0.1935, -0.43963, -0.915045, -1.50444, 7.70933, 10.0203, 1.56378, -1.57072, -0.0579131, 0, -0.2548, -0.445662, -0.251413, -0.43963, 2.84833, 0.96949, -6.18964, -0.368592, -0, -0
0.112, -0.190274, -0.439166, -0.917312, -1.51558, 7.75176, 10.0835, 1.56354, -1.57072, -0.0597419, 0, -0.253393, -0.44517, -0.250016, -0.439166, 1.39755, 0.464862, -6.58101, -0.376589, -0, -0
0.113, -0.188341, -0.438727, -0.92096, -1.52673, 7.79418, 10.1467, 1.56331, -1.57072, -0.0603515, 0, -0.252059, -0.444703, -0.248692, -0.438727, 1.32358, 0.438606, -6.65642, -0.381248, -0, -0
0.114, -0.186901, -0.43789, -0.925126, -1.53764, 7.83661, 10.21, 1.56306, -1.57072, -0.0603515, -0.000356109, -0.25061, -0.444195, -0.247252, -0.438246, 1.43983, 0.480657, -6.69066, -0.385448, -0, -0
